  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2     542    agrl            0.000
     1     2     542    agrl            0.000
     1     2     543    agrl         1189.536
     1     2     543    agrl            0.000
     1     2     543    agrl            0.000
     1     2     544    agrl         1137.577
     1     2     544    agrl            0.000
     1     2     544    agrl            0.000
     1     2     545    agrl          810.078
     1     2     545    agrl            0.000
     1     2     545    agrl            0.000
     1     2     546    agrl         1001.966
     1     2     546    agrl            0.000
     1     2     546    agrl            0.000
     1     2     547    agrl         4012.373
     1     2     548    agrl         4014.082
     1     2     549    agrl         1167.419
     1     2     550    agrl         1078.230
     1     2     551    agrl         1152.021
     1     2     552    agrl         1268.492
     1     2     553    agrl         1138.370
     1     2     554    agrl         4495.438
     1     2     555    agrl         4551.062
     1     2     556    agrl         4461.810
     1     2     557    agrl         4508.780
     1     2     558    agrl         4391.514
     1     2     559    agrl         4402.589
     1     2     560    agrl         1078.603
     1     2     561    agrl         1271.036
     1     2     562    agrl         1109.579
     1     2     563    agrl         1159.756
     1     2     564    agrl         1138.060
     1     2     565    agrl         5000.012
     1     2     566    agrl         4921.807
     1     2     567    agrl         4851.114
     1     2     568    agrl         4846.448
     1     2     569    agrl          805.051
     1     2     569    agrl            0.000
     1     2     569    agrl            0.000
     1     2     570    agrl         1032.007
     1     2     570    agrl            0.000
     1     2     570    agrl            0.000
     1     2     571    agrl         1002.685
     1     2     571    agrl            0.000
     1     2     571    agrl            0.000
     1     2     572    agrl         1027.964
     1     2     572    agrl            0.000
     1     2     572    agrl            0.000
     1     2     573    agrl          971.695
     1     2     573    agrl            0.000
     1     2     573    agrl            0.000
     1     2     574    agrl         1189.896
     1     2     574    agrl            0.000
     1     2     574    agrl            0.000
     1     2     575    agrl         1040.003
     1     2     575    agrl            0.000
     1     2     575    agrl            0.000
     1     2     576    agrl         4014.047
     1     2     577    agrl         4014.374
     1     2     578    agrl         4011.759
     1     2     579    agrl         4011.621
     1     2     580    agrl         1078.169
     1     2     581    agrl         1269.313
     1     2     582    agrl         1244.665
     1     2     583    agrl         1159.880
     1     2     584    agrl         1140.175
     1     2     585    agrl         4551.133
     1     2     586    agrl         4461.550
     1     2     587    agrl         4476.726
     1     2     588    agrl         4399.740
     1     2     589    agrl         1167.175
     1     2     590    agrl         1078.093
     1     2     591    agrl         1270.027
     1     2     592    agrl         1242.853
     1     2     593    agrl         1156.755
     1     2     594    agrl         1139.527
     1     2     595    agrl           68.489
     1     2     596    agrl         4920.714
     1     2     597    agrl         4856.952
     1     2     598    agrl         4848.264
     1     2     599    agrl          815.450
     1     2     599    agrl            0.000
     1     2     599    agrl            0.000
     1     2     600    agrl         1137.523
     1     2     600    agrl            0.000
     1     2     600    agrl            0.000
     1     2     601    agrl          801.363
     1     2     601    agrl            0.000
     1     2     601    agrl            0.000
     1     2     602    agrl         4014.053
     1     2     603    agrl         4011.714
     1     2     604    agrl         4462.027
     1     2     605    agrl         4400.425
     1     2     606    agrl         1077.806
     1     2     607    agrl         1268.433
     1     2     608    agrl         1157.190
     1     2     609    agrl         1138.165
     1     2     610    agrl           68.498
     1     2     611    agrl         4920.974
     1     2     612    agrl         4824.882
     1     2     613    agrl          997.029
     1     2     613    agrl            0.000
     1     2     613    agrl            0.000
     1     2     614    agrl          801.860
     1     2     614    agrl            0.000
     1     2     614    agrl            0.000
     1     2     615    agrl          799.555
     1     2     615    agrl            0.000
     1     2     615    agrl            0.000
     1     2     616    agrl          805.500
     1     2     616    agrl            0.000
     1     2     616    agrl            0.000
     1     2     617    agrl         4012.335
     1     2     618    agrl         4013.079
     1     2     619    agrl         4011.561
     1     2     620    agrl         4014.364
     1     2     621    agrl         1167.178
     1     2     622    agrl         1077.794
     1     2     623    agrl         1153.793
     1     2     624    agrl         1270.868
     1     2     625    agrl         1243.855
     1     2     626    agrl         4495.751
     1     2     627    agrl         4390.015
     1     2     628    agrl         4459.388
     1     2     629    agrl         4476.738
     1     2     630    agrl         1167.044
     1     2     631    agrl         1077.695
     1     2     632    agrl         1153.640
     1     2     633    agrl         1269.469
     1     2     634    agrl         1243.007
     1     2     635    agrl           68.509
     1     2     636    agrl         1182.819
     1     2     636    agrl            0.000
     1     2     636    agrl            0.000
     1     2     637    agrl         1028.375
     1     2     637    agrl            0.000
     1     2     637    agrl            0.000
     1     2     638    agrl         1053.688
     1     2     638    agrl            0.000
     1     2     638    agrl            0.000
     1     2     639    agrl         1156.984
     1     2     639    agrl            0.000
     1     2     639    agrl            0.000
     1     2     640    agrl         1040.365
     1     2     640    agrl            0.000
     1     2     640    agrl            0.000
     1     2     641    agrl         1040.956
     1     2     641    agrl            0.000
     1     2     641    agrl            0.000
