  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2     416    agrl          182.853
     1     2     417    agrl          161.963
     1     2     418    agrl          176.118
     1     2     419    agrl          156.111
     1     2     420    agrl          157.092
     1     2     421    agrl          157.077
     1     2     440    agrl          158.054
     1     2     441    agrl          157.995
     1     2     442    agrl          152.429
     1     2     443    agrl          172.174
     1     2     444    agrl          147.954
     1     2     445    agrl          171.092
     1     2     446    agrl          144.481
     1     2     447    agrl          149.757
     1     2     448    agrl          140.129
     1     2     449    agrl          164.666
     1     2     450    agrl          165.719
     1     2     451    agrl          160.352
     1     2     452    agrl          165.734
     1     2     453    agrl          158.096
     1     2     454    agrl          171.089
     1     2     455    agrl          141.079
     1     2     456    agrl          155.207
     1     2     457    agrl          180.507
     1     2     469    agrl          149.743
     1     2     470    agrl          159.576
     1     2     471    agrl          181.716
     1     2     472    agrl          150.686
     1     2     473    agrl          138.247
     1     2     474    agrl          161.970
     1     2     475    agrl          176.152
     1     2     476    agrl          170.041
     1     2     477    agrl          154.323
     1     2     478    agrl          142.734
     1     2     479    agrl          176.130
     1     2     480    agrl          167.870
     1     2     481    agrl          161.168
     1     2     482    agrl          137.815
     1     2     483    agrl          179.385
     1     2     484    agrl          178.289
     1     2     492    agrl          174.291
     1     2     493    agrl          191.426
     1     2     494    agrl          163.673
     1     2     495    agrl          161.176
     1     2     496    agrl          192.691
     1     2     497    agrl          165.747
     1     2     498    agrl          179.466
     1     2     499    agrl          171.153
     1     2     500    agrl          178.284
     1     2     501    agrl          181.687
     1     2     510    agrl          174.328
     1     2     511    agrl          162.777
     1     2     512    agrl          172.218
     1     2     513    agrl          175.197
     1     2     519    agrl          160.354
     1     2     520    agrl          179.443
     1     2     521    agrl          165.736
     1     2     531    agrl          175.221
     1     2     532    agrl          176.167
     1     2     533    agrl          169.024
     1     2     534    agrl          170.083
     1     2     535    agrl          173.347
     1     2     536    agrl          176.204
     1     2     537    agrl          175.209
     1     2     538    agrl          175.196
     1     2     539    agrl          179.463
     1     2     540    agrl          182.934
     1     2     541    agrl          173.339
     1     2     542    agrl          182.950
     1     2     543    agrl          169.054
     1     2     553    agrl          178.368
     1     2     554    agrl          161.984
     1     2     555    agrl          156.251
     1     2     556    agrl          161.418
     1     2     557    agrl          148.109
     1     2     558    agrl          169.034
